Protein id,number in CRISPR array,Number in genome sequences,Co-occurance,BLASTp derived description,
7459|*|gene_1549228|GeneMark.hmm|963_aa|+|37081|39972,2,2,1,unknown,
3497|*|gene_42353|GeneMark.hmm|1182_aa|+|8328|11876,5,5,1,unknown (matches from same contig!),
10759|*|gene_24759|GeneMark.hmm|853_aa|+|29595|32156,7,7,1,unknown ,
10074|*|gene_4390219|GeneMark.hmm|873_aa|-|5756|8377,6,7,0.857142857,unknown,
7996|*|gene_3933649|GeneMark.hmm|940_aa|+|3437|6259,5,6,0.833333333,unknown,
4543|*|gene_41669|GeneMark.hmm|1105_aa|-|7927|11244,502,609,0.824302135,untested,
3178|*|gene_506627|GeneMark.hmm|1214_aa|-|21092|24736,96,117,0.820512821,CorA transporter,
4905|*|gene_3809509|GeneMark.hmm|1086_aa|-|12982|16242,3,4,0.75,Candidate effector,
3902|*|gene_47326|GeneMark.hmm|1150_aa|-|6255|9707,3,4,0.75,tetratricopeptide repeat (NCBI domains),
10294|*|gene_4592|GeneMark.hmm|866_aa|+|5485|8085,62,84,0.738095238,Cas10,
10182|*|gene_14151|GeneMark.hmm|869_aa|+|72507|75116,8,11,0.727272727,Unknown,
10285|*|gene_33519|GeneMark.hmm|866_aa|-|12649|15249,61,84,0.726190476,CRISPR associated protein,
7891|*|gene_14551|GeneMark.hmm|943_aa|-|25078|27909,250,363,0.688705234,Cas10,
7146|*|gene_40902|GeneMark.hmm|974_aa|+|13261|16185,29,43,0.674418605,Unknown,
10186|*|gene_26743|GeneMark.hmm|869_aa|-|35281|37890,48,72,0.666666667,untested,
4440|*|gene_45313|GeneMark.hmm|1111_aa|-|4314|7649,14,21,0.666666667,cas13c,
3670|*|gene_1724675|GeneMark.hmm|1171_aa|+|16373|19888,278,445,0.624719101,MDM2? -p53 similarity (BLASTp),
8672|*|gene_43116|GeneMark.hmm|915_aa|-|25051|27798,244,392,0.62244898,Unknown,
3810|*|gene_24152|GeneMark.hmm|1158_aa|+|16116|19592,18,29,0.620689655,Cas13c,
5529|*|gene_4375013|GeneMark.hmm|1051_aa|-|8293|11448,106,174,0.609195402,CorA transporter,
6680|*|gene_22177|GeneMark.hmm|996_aa|-|25337|28327,270,449,0.601336303,Cas10,
12855|*|gene_25637|GeneMark.hmm|807_aa|-|29240|31663,110,185,0.594594595,Cas10,
13459|*|gene_1880329|GeneMark.hmm|796_aa|-|20438|22828,360,606,0.594059406,CRISPR RAMP ,
13765|*|gene_3964479|GeneMark.hmm|790_aa|+|3981|6353,24,41,0.585365854,truncated cpf1 variant,
15165|*|gene_4238338|GeneMark.hmm|764_aa|+|2527|4821,311,545,0.570642202,Cas10d,
4743|*|gene_3297186|GeneMark.hmm|1095_aa|-|226|3513,5173,9070,0.570341786,Cas3,
6836|*|gene_21333|GeneMark.hmm|989_aa|+|11395|14364,29,51,0.568627451,DNA alkylation repair protein,
13596|*|gene_20197|GeneMark.hmm|792_aa|+|32348|34726,29,51,0.568627451,Unknown,
13454|*|gene_1158650|GeneMark.hmm|796_aa|-|11530|13920,390,687,0.56768559,CRISPR RAMP protein,
